model,dataset,iteration,auc,metric
potion-base-2M,gov-ai,0,0.6590707848940028,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,7,0.7684356435506765,binary_auc
model2vecdk-stem,gov-ai,7,0.5058553369244057,binary_auc
multilingual-e5-small,gov-ai,2,0.5734436343029875,binary_auc
static-similarity-mrl-multilingual-v1,gov-ai,0,0.6037680943861214,binary_auc
multilingual-e5-small,gov-ai,7,0.5796517188286662,binary_auc
potion-base-4M,gov-ai,0,0.6951882669068867,binary_auc
multilingual-e5-small,gov-ai,8,0.5816814595237569,binary_auc
xlm-roberta-base,gov-ai,5,0.39723270349746154,binary_auc
potion-base-8M,gov-ai,2,0.7117959726892458,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,5,0.7650285750886104,binary_auc
dfm-sentence-encoder-large,gov-ai,9,0.6720752509321319,binary_auc
text-embedding-3-small,gov-ai,3,0.7696605772585119,binary_auc
text-embedding-3-small,gov-ai,7,0.7728076459586045,binary_auc
model2vecdk,gov-ai,9,0.5551139170254715,binary_auc
static-similarity-mrl-multilingual-v1,gov-ai,6,0.6172306548667352,binary_auc
text-embedding-3-large,gov-ai,2,0.7528428913566152,binary_auc
text-embedding-3-small,gov-ai,1,0.77013831067577,binary_auc
potion-multilingual-128M,gov-ai,2,0.7343000238130692,binary_auc
Qwen3-Embedding-0.6B,gov-ai,7,0.7896827510971758,binary_auc
mmBERTscandi-base-embedding,gov-ai,3,0.8522715949954662,binary_auc
model2vecdk,gov-ai,0,0.5759352551906545,binary_auc
text-embedding-ada-002,gov-ai,0,0.7420325078909001,binary_auc
potion-base-8M,gov-ai,6,0.7081318102908815,binary_auc
bge-m3,gov-ai,8,0.6928895680025288,binary_auc
LaBSE,gov-ai,7,0.6477295645366794,binary_auc
paraphrase-multilingual-mpnet-base-v2,gov-ai,1,0.8036911378212683,binary_auc
nb-sbert-base,gov-ai,6,0.6693344649020904,binary_auc
M2V_base_output,gov-ai,9,0.555535353144029,binary_auc
static-similarity-mrl-multilingual-v1,gov-ai,4,0.6100642307346988,binary_auc
model2vecdk,gov-ai,8,0.5621908048950507,binary_auc
M2V_base_output,gov-ai,7,0.5502178557757206,binary_auc
multilingual-e5-large-instruct,gov-ai,1,0.7832638871964611,binary_auc
mxbai-embed-large-v1,gov-ai,0,0.8125759151979377,binary_auc
dfm-sentence-encoder-large,gov-ai,2,0.664664897925852,binary_auc
text-embedding-3-small,gov-ai,2,0.774807509123671,binary_auc
multilingual-e5-large-instruct,gov-ai,2,0.7850670434640693,binary_auc
M2V_base_output,gov-ai,5,0.5544618004455857,binary_auc
snowflake-arctic-embed-l-v2.0,gov-ai,1,0.6583514071966281,binary_auc
paraphrase-multilingual-mpnet-base-v2,gov-ai,6,0.8066863222061484,binary_auc
paraphrase-multilingual-mpnet-base-v2,gov-ai,3,0.8129512024204246,binary_auc
potion-multilingual-128M,gov-ai,5,0.725045256092675,binary_auc
snowflake-arctic-embed-l-v2.0,gov-ai,9,0.6580393552730265,binary_auc
mxbai-embed-large-v1,gov-ai,8,0.8112813890940138,binary_auc
model2vecdk,gov-ai,3,0.5682459513215777,binary_auc
M2V_base_glove_subword,gov-ai,5,0.6323147935131509,binary_auc
Human,rai,2,0.7808631672695876,binary_auc
Human,rai,1,0.7866179369398502,binary_auc
Human,welfare,4,0.7779212155902582,binary_auc
Human,welfare,1,0.820316244349782,binary_auc
Human,welfare,2,0.8155494220693136,binary_auc
Human,welfare,4,0.816985186673561,binary_auc
Human,rai,2,0.7840532164871822,binary_auc
Human,welfare,1,0.829770624275967,binary_auc
Human,welfare,1,0.8126765849577353,binary_auc
Human,welfare,3,0.8175073689314408,binary_auc
Human,welfare,3,0.8291064219775047,binary_auc
Human,welfare,3,0.821325476038077,binary_auc
Human,welfare,3,0.8189636937109193,binary_auc
Human,welfare,0,0.8071369707842062,binary_auc
Human,welfare,0,0.7647021986347714,binary_auc
Human,welfare,1,0.7697132027374014,binary_auc
Human,welfare,0,0.8328689059619101,binary_auc
Human,welfare,0,0.8247282049815794,binary_auc
Human,welfare,0,0.8209606185192552,binary_auc
Human,rai,0,0.7931366808011621,binary_auc
Human,welfare,2,0.818994928185881,binary_auc
Human,welfare,2,0.8171786286597813,binary_auc
Human,welfare,1,0.8269711295875711,binary_auc
Human,welfare,3,0.8088487406782535,binary_auc
Human,rai,3,0.7808779719156089,binary_auc
Human,rai,4,0.7865351183517513,binary_auc
Human,welfare,4,0.8065942558811231,binary_auc
Human,rai,3,0.7876852082592984,binary_auc
Human,welfare,4,0.8203790896094401,binary_auc
Human,welfare,2,0.8051225620515473,binary_auc
Human,welfare,2,0.8199219847664039,binary_auc
Human,rai,0,0.7878614726812598,binary_auc
Human,rai,1,0.7892740141487414,binary_auc
Human,rai,4,0.7906643521792076,binary_auc
Human,welfare,4,0.8213591508906786,binary_auc
