dataset,seed,user_id,statement_id,x_normalised,y_normalised
welfare,1,H_coords,1027,0.28378378378378377,0.5211200759373517
rai,16,G_coords,196,0.20721583652618136,0.8022181146025879
welfare,10,A_coords,1124,0.4760308414347972,0.8163558106169297
welfare,10,A_coords,1180,0.868253436138116,0.41272118603538976
rai,28,B_coords,187,0.07468311065433368,0.6425361957064404
rai,2,A_coords,570,0.5185314685314686,0.11782032400589101
rai,15,G_coords,373,0.8895274584929758,0.16774491682070242
rai,3,A_coords,542,0.125,0.7050074367873079
rai,8,D_coords,560,0.8088669950738916,0.07466281310211946
rai,1,D_coords,135,0.41224892986499834,0.7869966035904901
rai,15,E_coords,656,0.4035439652290204,0.17030784508440913
rai,7,A_coords,610,0.84032,0.08925233644859813
welfare,28,H_coords,929,0.8813328799727984,0.3435185185185185
rai,20,A_coords,560,0.5082077051926298,0.36001917545541706
rai,24,G_coords,7,0.39868603042876904,0.7719553614750121
rai,17,A_coords,384,0.4043970686209194,0.5437297547431744
rai,26,H_coords,387,0.19718309859154928,0.4125171311100959
welfare,12,D_coords,1055,0.23351351351351352,0.384394250513347
welfare,3,A_coords,1119,0.7077464788732394,0.31599607458292445
rai,5,E_coords,60,0.5094895287958116,0.18910107126222636
rai,0,D_coords,732,0.42254000680966974,0.3174200101574403
rai,6,G_coords,192,0.20044472681067343,0.6044973544973545
rai,7,E_coords,696,0.3734115347018573,0.2847424684159378
rai,5,D_coords,196,0.18600902643455836,0.685002350728726
rai,19,D_coords,543,0.842948717948718,0.2380729653882133
welfare,9,D_coords,1222,0.7761344537815126,0.05270723526593196
rai,10,H_coords,744,0.46741415557112825,0.7637335926105979
welfare,6,E_coords,1148,0.2973308504034761,0.6926807760141094
