model,dataset,difficulty,statistic,auc_mean,ci_lo,ci_hi
potion-base-4M,welfare,Hard ($d$: bottom 20%),Best,0.024516951827033177,0.012639199038798005,0.03932358123498234
static-similarity-mrl-multilingual-v1,welfare,Hard ($d$: bottom 20%),Best,0.030253229236910813,0.01747792912603882,0.04040053790668778
static-similarity-mrl-multilingual-v1,rai,Hard ($d$: bottom 20%),Worst,-0.014656159678672105,-0.06019803747511623,0.005568991898818959
potion-base-4M,welfare,Easy ($d$: top 20%),Best,0.2595231053555728,0.24428741288182715,0.280164790478465
multilingual-e5-base,welfare,Hard ($d$: bottom 20%),Worst,0.008546026437611725,-0.010197375425579502,0.022307735217011435
model2vecdk-stem,rai,Hard ($d$: bottom 20%),Mean,0.033510868804345534,0.01994841009552377,0.04885507389955516
multilingual-e5-small,rai,Hard ($d$: bottom 20%),Worst,0.0051236051652129855,-0.015098706781925772,0.015159848596082036
text-embedding-3-small,welfare,Hard ($d$: bottom 20%),Mean,0.034218827696726614,0.027782492872299662,0.041965470858402756
static-similarity-mrl-multilingual-v1,welfare,Easy ($d$: top 20%),Worst,0.26776754245045054,0.2497863177794039,0.28464088675434485
LaBSE,rai,Hard ($d$: bottom 20%),Mean,0.026121675173149804,0.010280052781496624,0.03686175528403147
xlm-roberta-large,welfare,Hard ($d$: bottom 20%),Worst,0.017167124106557633,0.004275265227341107,0.02975976762736361
paraphrase-multilingual-MiniLM-L12-v2,rai,Easy ($d$: top 20%),Best,0.3695563818548965,0.33747668774876916,0.41273723821989533
LaBSE,welfare,Hard ($d$: bottom 20%),Best,0.04789175029435218,0.03306183970315546,0.06334954210378557
m2v-dfm-large,welfare,Hard ($d$: bottom 20%),Best,0.06836740297553408,0.051078557995827854,0.0852192798072642
bge-m3,rai,Easy ($d$: top 20%),Best,0.34383901833602104,0.31287465452689533,0.39228832163918903
potion-multilingual-128M,rai,Hard ($d$: bottom 20%),Best,0.049425965432347445,0.026646882301482766,0.09468063305291605
M2V_base_output,rai,Hard ($d$: bottom 20%),Worst,0.013626943086957692,0.002577370073810792,0.024021946297138778
Human,rai,Easy ($d$: top 20%),Mean,0.9457117494155632,0.9206218720866497,0.9653747855617342
mmBERTscandi-base-embedding,welfare,Easy ($d$: top 20%),Worst,0.3111231517345937,0.29844399988378656,0.3241268710128746
mxbai-embed-large-v1,welfare,Hard ($d$: bottom 20%),Mean,0.022366481891171647,0.015085307567270816,0.03010586012336026
mmBERTscandi-base-embedding,welfare,Easy ($d$: top 20%),Best,0.37200310498100286,0.36069550319794286,0.3853799876391853
model2vecdk-stem,welfare,Easy ($d$: top 20%),Best,0.34668381470698895,0.32315657083783955,0.3674756706614084
nb-sbert-base,rai,Easy ($d$: top 20%),Best,0.3472896971477749,0.33568205003377466,0.36611242454946175
multilingual-e5-base,welfare,Easy ($d$: top 20%),Best,0.38963606178693444,0.37553812889900495,0.4044710189262897
Qwen3-Embedding-0.6B,welfare,Hard ($d$: bottom 20%),Mean,-0.024667391121469418,-0.034213601884504105,-0.01622530148371719
xlm-roberta-large,rai,Easy ($d$: top 20%),Worst,0.1293212525746682,0.12164508997392694,0.13628708587752175
M2V_base_glove,welfare,Hard ($d$: bottom 20%),Best,-0.056073818286051555,-0.072060514397094,-0.039712169493623495
Human,welfare,Easy ($d$: top 20%),Best,0.9731428260720163,0.956087963576611,0.9864987510103873
dfm-sentence-encoder-large,rai,Easy ($d$: top 20%),Worst,0.25479885721573925,0.24902778767108605,0.263797378136976
potion-base-4M,rai,Hard ($d$: bottom 20%),Mean,0.033483093526516,0.018852151867740762,0.04717097214123698
paraphrase-multilingual-mpnet-base-v2,welfare,Easy ($d$: top 20%),Best,0.5366462049786329,0.524735023427989,0.5490931438182437
multilingual-e5-small,welfare,Easy ($d$: top 20%),Worst,0.3133935373393074,0.3036354082495871,0.32698009210307644
multilingual-e5-large-instruct,welfare,Easy ($d$: top 20%),Best,0.503887605381817,0.49003124598708575,0.52000570773685
Qwen3-Embedding-Scandi-0.6B,rai,Easy ($d$: top 20%),Mean,0.28933251782092484,0.271857831905421,0.30254144809021755
potion-base-8M,welfare,Hard ($d$: bottom 20%),Best,0.05944679666723232,0.04712539540225287,0.07565794683760979
potion-base-4M,welfare,Hard ($d$: bottom 20%),Mean,0.010964848944804933,0.00127316594761564,0.020156976986419908
text-embedding-3-small,rai,Hard ($d$: bottom 20%),Best,0.024514531127101735,0.015187511711713304,0.03675006725389915
model2vecdk-stem,welfare,Hard ($d$: bottom 20%),Best,0.044886089300123944,0.029807274176980186,0.059297842643489515
Human,rai,Easy ($d$: top 20%),Worst,0.9176429957889611,0.8457443046290767,0.9587557418555289
text-embedding-ada-002,welfare,Hard ($d$: bottom 20%),Mean,0.02802287319651489,0.020054720882427483,0.03678754027251703
EmbeddingGemma-Scandi-300m,welfare,Hard ($d$: bottom 20%),Best,0.04299168631992552,0.026300806713346447,0.060709435116215654
text-embedding-3-large,rai,Easy ($d$: top 20%),Mean,0.38250966990209895,0.3663008883254289,0.3959863900335687
text-embedding-ada-002,welfare,Easy ($d$: top 20%),Mean,0.4235608754347488,0.4166687332788814,0.43251220128257195
paraphrase-multilingual-mpnet-base-v2,welfare,Hard ($d$: bottom 20%),Best,0.03516627403356854,0.020689885629963066,0.04661580424697198
dfm-sentence-encoder-large,welfare,Hard ($d$: bottom 20%),Worst,0.023585826862907028,0.010401496921897397,0.03452732653643178
multilingual-e5-large-instruct,welfare,Hard ($d$: bottom 20%),Worst,-0.00041550956487464987,-0.014493239671574853,0.010127218293115636
potion-multilingual-128M,welfare,Hard ($d$: bottom 20%),Best,0.027429359779698056,0.014476710507792118,0.04552955956379813
M2V_base_output,welfare,Hard ($d$: bottom 20%),Worst,0.010355062670889315,-0.005939638784587073,0.02491280461373373
potion-multilingual-128M,welfare,Easy ($d$: top 20%),Best,0.405319307747266,0.3936812639202457,0.4205968714453339
xlm-roberta-base,rai,Easy ($d$: top 20%),Best,0.21731732955288915,0.17809228778010713,0.2539756924826582
LaBSE,welfare,Hard ($d$: bottom 20%),Mean,0.028692038269434218,0.01907980076193742,0.03952541790728761
Human,welfare,Easy ($d$: top 20%),Worst,0.8510904664381519,0.7849641417259443,0.9536045134770953
EmbeddingGemma-Scandi-300m,welfare,Easy ($d$: top 20%),Mean,0.456933552816722,0.4502634823177367,0.4637290143839259
M2V_base_output,rai,Easy ($d$: top 20%),Worst,0.09812944294270551,0.05843320880263681,0.13816912285217833
text-embedding-ada-002,welfare,Hard ($d$: bottom 20%),Best,0.044350783815214304,0.03231382769442361,0.05531523286492965
text-embedding-3-small,rai,Hard ($d$: bottom 20%),Worst,-0.009574948728331976,-0.05246004526054122,0.015913754442376082
potion-base-4M,welfare,Hard ($d$: bottom 20%),Worst,-0.0029070156299678372,-0.01584548716709721,0.009482879685706894
model2vecdk-stem,rai,Easy ($d$: top 20%),Best,0.3048851751823925,0.2838753263857301,0.34564695225173886
text-embedding-3-large,welfare,Easy ($d$: top 20%),Best,0.4587164336175373,0.4445733228021824,0.4746506676139157
potion-base-8M,welfare,Hard ($d$: bottom 20%),Worst,0.004823637540836487,-0.010041130573550633,0.020949153601512876
snowflake-arctic-embed-l-v2.0,welfare,Hard ($d$: bottom 20%),Best,0.015656504901404692,0.0036071949677091045,0.03198256715991441
multilingual-e5-large-instruct,rai,Easy ($d$: top 20%),Worst,0.3464226761514627,0.3285416688692111,0.3566409993758518
multilingual-e5-large-instruct,rai,Hard ($d$: bottom 20%),Best,0.03218952585483877,0.01163431189174025,0.06463564097305637
Qwen3-Embedding-0.6B,welfare,Hard ($d$: bottom 20%),Best,0.0029023298667053177,-0.012457053909455437,0.020344762643985225
potion-base-4M,welfare,Easy ($d$: top 20%),Mean,0.20063568245927135,0.19142636820028686,0.20928523088932613
multilingual-e5-large,rai,Hard ($d$: bottom 20%),Worst,-0.02146011100967966,-0.051708568242861117,-0.003552866873713646
Qwen3-Embedding-Scandi-0.6B,rai,Hard ($d$: bottom 20%),Mean,0.015550743118745644,0.0030129021644885643,0.0334838682809299
dfm-sentence-encoder-large,welfare,Easy ($d$: top 20%),Worst,0.26440024323173383,0.24916578240880405,0.2828731796306968
xlm-roberta-base,welfare,Easy ($d$: top 20%),Best,0.11488466304337623,0.10331006057442396,0.12794707264600058
mmBERTscandi-base-embedding,welfare,Hard ($d$: bottom 20%),Worst,0.015652268090248774,0.000780348372993678,0.026878180185573083
bge-m3,rai,Hard ($d$: bottom 20%),Best,0.0365752804000388,0.028623450535375728,0.04307318867241425
mmBERTscandi-base-embedding,rai,Hard ($d$: bottom 20%),Worst,0.004334387359742542,-0.013109854652023295,0.01630982653196824
potion-base-2M,welfare,Easy ($d$: top 20%),Mean,0.16980768298056478,0.1624996677853922,0.1777769711143145
static-similarity-mrl-multilingual-v1,rai,Hard ($d$: bottom 20%),Mean,0.0016844771703162645,-0.015902979594013565,0.02135859268689328
mxbai-embed-large-v1,rai,Easy ($d$: top 20%),Mean,0.22078783235428034,0.21058178961996868,0.2374696796122731
potion-base-8M,welfare,Easy ($d$: top 20%),Mean,0.21426217120063343,0.20429533535736075,0.22006538238670775
dfm-sentence-encoder-large,welfare,Easy ($d$: top 20%),Best,0.3430786260768505,0.3290015347904633,0.3613330263281434
M2V_base_glove,rai,Hard ($d$: bottom 20%),Worst,-0.0758968551101547,-0.09555601505903825,-0.0659134952997221
m2v-dfm-large,rai,Hard ($d$: bottom 20%),Mean,0.02603707654909889,0.015366449643504544,0.03911335746829025
text-embedding-ada-002,rai,Hard ($d$: bottom 20%),Worst,-0.0051110631186921515,-0.05040035194995541,0.025612389832548908
Qwen3-Embedding-Scandi-0.6B,welfare,Hard ($d$: bottom 20%),Mean,0.004888260216899845,-0.0018577546710258487,0.01361062132646898
M2V_base_glove,rai,Easy ($d$: top 20%),Mean,0.03897508958688343,0.026119124683093905,0.05615495539371206
multilingual-e5-small,rai,Hard ($d$: bottom 20%),Best,0.02962703628454279,0.009076134548757825,0.06524930211989717
potion-base-2M,rai,Easy ($d$: top 20%),Best,0.1584442737561612,0.14454869377061183,0.1930804910044977
text-embedding-3-small,welfare,Hard ($d$: bottom 20%),Worst,0.008753942566886051,-0.008593382126791168,0.020711918600070267
potion-base-2M,welfare,Easy ($d$: top 20%),Best,0.20898014160020892,0.19505213754354475,0.22223461179481102
paraphrase-multilingual-MiniLM-L12-v2,welfare,Hard ($d$: bottom 20%),Mean,0.023095176904435907,0.016873676576297663,0.031679235487050955
M2V_base_glove_subword,welfare,Easy ($d$: top 20%),Best,0.2449104010555752,0.22898706641720146,0.25842036148790126
multilingual-e5-large,welfare,Hard ($d$: bottom 20%),Mean,0.0039681103453424755,-0.004676509555668488,0.011188038901992686
xlm-roberta-base,rai,Hard ($d$: bottom 20%),Worst,0.008808227678265444,-0.013337715440446127,0.025262025273927815
snowflake-arctic-embed-l-v2.0,welfare,Hard ($d$: bottom 20%),Worst,-0.012979516353092075,-0.027772898481808587,0.0014661290634885166
M2V_base_glove_subword,rai,Hard ($d$: bottom 20%),Worst,0.01353918110933399,0.0063486034732394446,0.019901382176297888
M2V_base_glove,welfare,Hard ($d$: bottom 20%),Mean,-0.09815668082483774,-0.10448007845160165,-0.09296057821551461
multilingual-e5-base,welfare,Easy ($d$: top 20%),Mean,0.357030384461221,0.35016594306269994,0.36429116783492416
multilingual-e5-small,welfare,Easy ($d$: top 20%),Mean,0.33409431161789693,0.32752641909491875,0.34426713378305485
potion-base-2M,rai,Easy ($d$: top 20%),Worst,0.1198109494515991,0.09438028136977265,0.12945809202317704
multilingual-e5-small,rai,Hard ($d$: bottom 20%),Mean,0.015582868793011753,0.0023046451050351053,0.031803602133054526
model2vecdk-stem,welfare,Hard ($d$: bottom 20%),Worst,0.010847224213688077,-0.007284134291989703,0.02609114317234347
bge-m3,rai,Hard ($d$: bottom 20%),Mean,0.01767253274825866,0.004500437462918376,0.032644091603086775
xlm-roberta-base,rai,Hard ($d$: bottom 20%),Best,0.031446126295785574,0.016970804572370303,0.06774546444311844
model2vecdk,welfare,Easy ($d$: top 20%),Best,0.40693734942919285,0.39446205516719335,0.42000354541862767
Human,welfare,Hard ($d$: bottom 20%),Best,0.7737612694153857,0.624613428039624,0.9062567313810257
M2V_base_output,rai,Easy ($d$: top 20%),Mean,0.12812672593346822,0.11364036679434984,0.1436198398860707
multilingual-e5-small,rai,Easy ($d$: top 20%),Worst,0.2561104416418802,0.23000721641887759,0.266759580324625
dfm-sentence-encoder-large,rai,Easy ($d$: top 20%),Mean,0.28429758322486576,0.26559461051746197,0.297371278624543
potion-base-8M,rai,Easy ($d$: top 20%),Worst,0.08726154823028474,0.04413112812101335,0.1141470858022428
Qwen3-Embedding-Scandi-0.6B,welfare,Hard ($d$: bottom 20%),Best,0.029101926212476557,0.012545237612244593,0.04447300887606665
multilingual-e5-base,rai,Easy ($d$: top 20%),Worst,0.25222689351156136,0.2435599232230899,0.26323082318373475
potion-base-2M,welfare,Hard ($d$: bottom 20%),Mean,0.03282587990941829,0.024920700965153215,0.04317881473231057
model2vecdk,welfare,Easy ($d$: top 20%),Mean,0.3652964479079967,0.35863374692378286,0.37557489665306365
multilingual-e5-large-instruct,welfare,Hard ($d$: bottom 20%),Mean,0.015121597661211007,0.008837156858008332,0.020761334686777988
M2V_base_glove_subword,welfare,Easy ($d$: top 20%),Mean,0.1975740204353174,0.1880771613407329,0.20697901499820578
M2V_base_glove,rai,Easy ($d$: top 20%),Best,0.07884370509241755,0.07075006045001438,0.08792244597812895
paraphrase-multilingual-MiniLM-L12-v2,welfare,Hard ($d$: bottom 20%),Worst,-0.004920587937156,-0.0184898683253265,0.011911264486577866
Qwen3-Embedding-0.6B,rai,Hard ($d$: bottom 20%),Worst,-0.049499971437224025,-0.0972438074964133,-0.019517355833139752
