dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,11,LaBSE,0.45031907678484795,0.06794751640112465
gov-ai,11,M2V_base_glove,0.3036062223834287,-0.017917895214334317
gov-ai,11,M2V_base_glove_subword,0.33899382067503553,-0.022010512483574246
gov-ai,11,M2V_base_output,0.3680295254161822,-0.009068425391591096
gov-ai,11,Qwen3-Embedding-0.6B,0.3671405248500371,-0.005256241787122208
gov-ai,11,Qwen3-Embedding-Scandi-0.6B,0.4583731859172614,0.06559179186515207
gov-ai,11,bge-m3,0.490533482443117,0.15988372093023256
gov-ai,11,dfm-sentence-encoder-large,0.3242294866180964,0.0027575833542241163
gov-ai,11,m2v-dfm-large,0.38686615845923,0.02123315639036341
gov-ai,11,mmBERTscandi-base-embedding,0.44458016080027407,0.12540192926045016
gov-ai,11,model2vecdk,0.4380544663792807,0.061760840998685944
gov-ai,11,model2vecdk-stem,0.43534210331310014,0.04690362770245511
gov-ai,11,multilingual-e5-base,0.5883653058097675,0.2475795297372061
gov-ai,11,multilingual-e5-large,0.5524800353864321,0.2598944591029024
gov-ai,11,multilingual-e5-large-instruct,0.445048785312263,0.1403444485159399
gov-ai,11,multilingual-e5-small,0.5681535740963373,0.1901088929219601
gov-ai,11,mxbai-embed-large-v1,0.46032923490008654,0.06559179186515207
gov-ai,11,nb-sbert-base,0.4656508657510501,0.0996216897856242
gov-ai,11,paraphrase-multilingual-MiniLM-L12-v2,0.4977072064096394,0.13768115942028986
gov-ai,11,paraphrase-multilingual-mpnet-base-v2,0.4066633261518566,0.06147220046985122
gov-ai,11,potion-base-2M,0.5370574811273154,0.17018469656992086
gov-ai,11,potion-base-4M,0.5146293571203618,0.1635426429240862
gov-ai,11,potion-base-8M,0.5064350533308863,0.13964386129334583
gov-ai,11,potion-multilingual-128M,0.47311451974918056,0.14775725593667546
gov-ai,11,snowflake-arctic-embed-l-v2.0,0.4503190767848479,0.06794751640112465
gov-ai,11,static-similarity-mrl-multilingual-v1,0.2906150252468882,-0.041052392832841914
gov-ai,11,text-embedding-3-large,0.6234760370870616,0.3373754872239064
gov-ai,11,text-embedding-3-small,0.48387755192533116,0.16131558339859045
gov-ai,11,text-embedding-ada-002,0.636490010898706,0.3786316776007498
gov-ai,11,xlm-roberta-base,0.4347409684268103,0.06147220046985121
gov-ai,11,xlm-roberta-large,0.45934759825930527,0.08474576271186442
gov-ai,20,EmbeddingGemma-Scandi-300m,0.48818376039624023,0.154297821331743
gov-ai,20,LaBSE,0.4432086061273283,0.09678075011313274
gov-ai,20,M2V_base_glove,0.30775679374977993,0.008023970341780512
gov-ai,20,M2V_base_glove_subword,0.34044622147517073,0.04309052922037709
gov-ai,20,M2V_base_output,0.3776731047870676,0.052611260462504174
gov-ai,20,Qwen3-Embedding-0.6B,0.5017366617854884,0.1863262217158799
gov-ai,20,Qwen3-Embedding-Scandi-0.6B,0.526606061466161,0.17955606070951358
gov-ai,20,bge-m3,0.4769337503409863,0.12422459193589602
gov-ai,20,dfm-sentence-encoder-large,0.3877171653609949,0.059772150640082615
gov-ai,20,m2v-dfm-large,0.44096083163464034,0.11182210658456722
gov-ai,20,mmBERTscandi-base-embedding,0.5166113996238553,0.21630508773934612
gov-ai,20,model2vecdk,0.31775652893081263,-0.01547625073330938
gov-ai,20,model2vecdk-stem,0.3314348794540274,0.0016754198649751376
gov-ai,20,multilingual-e5-base,0.4997178319398189,0.166949379170358
gov-ai,20,multilingual-e5-large,0.4194499255400222,0.043195871702477864
gov-ai,20,multilingual-e5-large-instruct,0.4639678090837948,0.12699837209885115
gov-ai,20,multilingual-e5-small,0.37454894024545893,0.004349282690378712
gov-ai,20,mxbai-embed-large-v1,0.5240362430886949,0.2138042285217043
gov-ai,20,nb-sbert-base,0.505817837608272,0.17696130342875274
gov-ai,20,paraphrase-multilingual-MiniLM-L12-v2,0.44225062028711654,0.09619671928660681
gov-ai,20,paraphrase-multilingual-mpnet-base-v2,0.4549265928908537,0.14802708031818262
gov-ai,20,potion-base-2M,0.4775515446166737,0.09467281131362788
gov-ai,20,potion-base-4M,0.5364913080579654,0.16558134504475602
gov-ai,20,potion-base-8M,0.44609588754773144,0.07807182654231672
gov-ai,20,potion-multilingual-128M,0.37438340729338926,-0.00821633803215808
gov-ai,20,snowflake-arctic-embed-l-v2.0,0.44109681975894477,0.07670977967692585
gov-ai,20,static-similarity-mrl-multilingual-v1,0.3661322141540432,0.053765839551502756
gov-ai,20,text-embedding-3-large,0.5751587425295721,0.281175200224894
gov-ai,20,text-embedding-3-small,0.4890960196980446,0.11023218123122522
gov-ai,20,text-embedding-ada-002,0.420008968445669,0.07437260515974019
gov-ai,20,xlm-roberta-base,0.42341004481548516,0.10064404326402293
gov-ai,20,xlm-roberta-large,0.3503203479282284,0.03156516474928548
gov-ai,5,EmbeddingGemma-Scandi-300m,0.5656837808504123,0.14300658857149337
gov-ai,5,LaBSE,0.5443648217748663,0.08481862964621585
gov-ai,5,M2V_base_glove,0.4648202289293455,0.06181347586953152
gov-ai,5,M2V_base_glove_subword,0.4765628021622253,0.09013018606908438
gov-ai,5,M2V_base_output,0.4648202289293456,0.06181347586953152
gov-ai,5,Qwen3-Embedding-0.6B,0.5969629512762631,0.18869547998568598
gov-ai,5,Qwen3-Embedding-Scandi-0.6B,0.5271140462244577,0.0885818350082038
gov-ai,5,bge-m3,0.5227676771745046,0.059602649006622516
gov-ai,5,dfm-sentence-encoder-large,0.6096293515811557,0.2867173591256565
gov-ai,5,m2v-dfm-large,0.5866706588475112,0.23230090505961037
gov-ai,5,mmBERTscandi-base-embedding,0.5248751677791246,0.059984780259445966
gov-ai,5,model2vecdk,0.4784769267699485,0.010806648008141902
gov-ai,5,model2vecdk-stem,0.4898869632646252,0.057036934999910166
gov-ai,5,multilingual-e5-base,0.531287370461696,0.07044841181538603
gov-ai,5,multilingual-e5-large,0.4711104166664394,0.027097176356301763
gov-ai,5,multilingual-e5-large-instruct,0.5852848546778213,0.24612472974025118
gov-ai,5,multilingual-e5-small,0.42239124830126573,-0.0672521914654752
gov-ai,5,mxbai-embed-large-v1,0.4273977099304141,-0.009650490216187389
gov-ai,5,nb-sbert-base,0.588964328574908,0.1828838891849903
gov-ai,5,paraphrase-multilingual-MiniLM-L12-v2,0.5863610924873753,0.2263211468661922
gov-ai,5,paraphrase-multilingual-mpnet-base-v2,0.6160379616092204,0.2193013882669055
gov-ai,5,potion-base-2M,0.6160379616092204,0.2193013882669055
gov-ai,5,potion-base-4M,0.5358740385983318,0.10352503257025869
gov-ai,5,potion-base-8M,0.5580662465433022,0.11703529369002617
gov-ai,5,potion-multilingual-128M,0.5656837808504123,0.14300658857149337
gov-ai,5,snowflake-arctic-embed-l-v2.0,0.5555251578280276,0.14518104396539014
gov-ai,5,static-similarity-mrl-multilingual-v1,0.4238010403581586,0.02533257508164272
gov-ai,5,text-embedding-3-large,0.5738574751255151,0.17301321421924437
gov-ai,5,text-embedding-3-small,0.578725527673001,0.21841227901069368
