dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,14,EmbeddingGemma-Scandi-300m,0.5139164610916463,0.07150073234887175
gov-ai,14,LaBSE,0.5093051199432614,-0.04751993433395872
gov-ai,14,M2V_base_glove,0.15024142702507398,-0.01118817522714578
gov-ai,14,M2V_base_glove_subword,0.17112558695671892,0.03054292658262875
gov-ai,14,M2V_base_output,0.12425963645168756,-0.01118817522714578
gov-ai,14,Qwen3-Embedding-0.6B,0.17112558695671892,0.03054292658262875
gov-ai,14,Qwen3-Embedding-Scandi-0.6B,0.28181657505781943,0.07325917704424045
gov-ai,14,bge-m3,0.4762648329966722,0.013623959424444568
gov-ai,14,dfm-sentence-encoder-large,0.1447854927149626,0.017655345034987814
gov-ai,14,jaccard-binary,0.1269790114692415,0.005268887561825138
gov-ai,14,m2v-dfm-large,0.22347998119634654,0.035251453255826355
gov-ai,14,mmBERTscandi-base-embedding,0.631380979020834,0.15360303972610617
gov-ai,14,model2vecdk,0.1503925910510265,-0.026075084768695654
gov-ai,14,model2vecdk-stem,0.1503925910510265,-0.026075084768695654
gov-ai,14,multilingual-e5-base,0.453975142869735,0.04642620872153923
gov-ai,14,multilingual-e5-large,0.42313773495287044,0.09779646463703733
gov-ai,14,multilingual-e5-large-instruct,0.5062858202594234,0.13958175862937766
gov-ai,14,multilingual-e5-small,0.5475863243314121,-0.035112894907957576
gov-ai,14,mxbai-embed-large-v1,0.4291174600519255,0.07611273306000274
gov-ai,14,nb-sbert-base,0.29966252930241394,0.017477259389671363
gov-ai,14,paraphrase-multilingual-MiniLM-L12-v2,0.16205446629993436,-0.0034037283123830517
gov-ai,14,paraphrase-multilingual-mpnet-base-v2,0.4508445215173167,0.025155160191545074
gov-ai,14,potion-base-2M,0.4621145786054856,0.0503886653067975
gov-ai,14,potion-base-4M,0.6186827531359723,0.20580409867609137
gov-ai,14,potion-base-8M,0.5557328734325647,0.07673627545084995
gov-ai,14,potion-multilingual-128M,0.39689025249735654,0.03670397341283417
gov-ai,14,snowflake-arctic-embed-l-v2.0,0.3259878711783888,0.09183951723429648
gov-ai,14,static-similarity-mrl-multilingual-v1,0.13164193941613722,-0.0034037283123830517
gov-ai,14,text-embedding-3-large,0.50792613639767,0.09644204539791898
gov-ai,14,text-embedding-3-small,0.44596674679477544,0.09977973979429937
gov-ai,14,text-embedding-ada-002,0.5139164610916463,0.07150073234887175
gov-ai,14,tfidf-char35,0.5977820608892546,0.12502931519699811
gov-ai,14,xlm-roberta-base,0.22616134006139804,0.013069212822949969
gov-ai,14,xlm-roberta-large,0.16692089817298236,-0.02390261816296552
